Frame,Track_ID,Orig_X1,Orig_Y1,Orig_X2,Orig_Y2,Adj_X1,Adj_Y1,Adj_X2,Adj_Y2
3,2,465,160,932,388,419,116,979,388
3,3,865,187,1743,436,778,138,1279,436
3,4,415,419,871,918,370,319,916,918
3,5,173,264,364,612,155,195,383,612
3,6,1100,344,2229,783,987,256,1279,783
3,7,741,83,1472,211,668,58,1279,211
3,8,918,125,1832,302,827,90,1279,302
3,9,404,155,810,371,364,111,850,371
3,10,744,194,1504,457,669,141,1279,457
3,11,1157,256,2347,597,1039,189,1279,597
3,12,1263,152,2544,364,1135,109,1279,364
3,13,531,429,1109,947,474,326,1166,947
3,14,587,95,1175,241,529,66,1233,241
3,16,500,432,1037,947,447,329,1089,947
4,2,485,161,953,387,439,115,999,387
4,3,882,185,1761,434,795,136,1279,434
4,4,429,417,885,916,384,318,930,916
4,5,188,264,381,612,169,195,399,612
4,6,1090,343,2218,782,977,255,1279,782
4,7,760,83,1490,211,687,58,1279,211
4,8,937,125,1849,302,846,91,1279,302
4,9,425,155,831,371,384,112,872,371
4,10,759,193,1521,457,683,141,1279,457
4,11,1170,257,2358,597,1051,189,1279,597
4,12,1269,154,2554,367,1141,112,1279,367
4,13,532,429,1108,945,475,326,1165,945
4,14,605,96,1195,243,546,67,1254,243
4,16,503,434,1038,948,450,331,1092,948
4,17,833,463,1695,1017,747,353,1279,1017
5,2,503,161,973,387,457,115,1019,387
5,3,898,185,1780,434,810,135,1279,434
5,4,443,416,901,915,398,317,946,915
5,5,201,265,395,612,182,195,414,612
5,6,1088,344,2220,784,975,256,1279,784
5,7,777,82,1511,211,704,58,1279,211
5,8,954,125,1871,302,864,90,1279,302
5,9,444,154,853,371,403,112,893,371
5,10,772,192,1539,458,696,140,1279,458
5,11,1181,257,2371,597,1062,189,1279,597
5,12,1275,156,2564,370,1146,114,1279,370
5,13,533,428,1110,946,475,326,1167,946
5,14,623,97,1217,244,564,68,1276,244
5,16,500,434,1032,945,447,333,1085,945
5,17,850,462,1703,1009,765,354,1279,1009
6,2,520,160,992,386,473,115,1039,386
6,3,911,185,1794,434,823,136,1279,434
6,4,449,414,909,913,404,315,954,913
6,5,213,266,410,614,193,197,429,614
6,6,1095,346,2230,788,981,258,1279,788
6,7,795,83,1530,211,721,58,1279,211
6,8,969,124,1895,302,877,89,1279,302
6,9,461,154,872,370,420,112,912,370
6,10,786,193,1557,459,709,140,1279,459
6,11,1194,257,2387,597,1076,188,1279,597
